txn_id,order_ref,amount,settlement_date,description,currency
pay_2A00020,order_200020,7235.99,2026-09-14,Razorpay settlement | Indigo Travel | order_200020,INR
pay_2A00012,order_200012,11370.75,2026-09-04,Razorpay settlement | Volt Auto Parts | order_200012,INR
pay_2A00066,order_200061,1672.50,2026-09-19,Razorpay settlement | Volt Auto Parts | order_200061 | split 1/2 1672.50,INR
pay_2A00015,order_200015,13300.00,2026-09-01,Razorpay settlement | Volt Auto Parts | order_200015,INR
pay_2A00079,order_200072,19696.43,2026-09-23,Razorpay settlement | Nimbus Hosting | order_200072 | net of 2.36% fee,INR
pay_2A00013,order_200013,43756.75,2026-09-21,Razorpay settlement | Kite Kids Wear | order_200013,INR
pay_2A00007,order_200007,11655.50,2026-09-20,Razorpay settlement | Amber Books | order_200007,INR
pay_2A00019,order_200019,9921.75,2026-09-23,Razorpay settlement | MediQuick Pharmacy | order_200019,INR
pay_2A00039,order_200039,14630.00,2026-09-15,Razorpay settlement | Harbour Linens | order_200039,INR
pay_2A00034,order_200034,4330.00,2026-09-28,Razorpay settlement | PixelForge Studio | order_200034,INR
pay_2A00049,order_200049,42963.00,2026-09-25,Razorpay settlement | Volt Auto Parts | order_200049,INR
pay_2A00038,order_200038,36041.99,2026-09-20,Razorpay settlement | Kite Kids Wear | order_200038,INR
pay_2A00047,order_200047,5617.25,2026-09-03,Razorpay settlement | BrightPath Tuition | order_200047,INR
pay_2A00018,order_200018,45886.25,2026-09-17,Razorpay settlement | Cedar Homewares | order_200018,INR
pay_2A00031,order_200031,9318.00,2026-09-09,Razorpay settlement | Leaf & Bean Cafe | order_200031,INR
pay_2A00084,order_200077,1226.00,2026-09-05,Razorpay settlement | Kite Kids Wear | order_200077 | net of refund 306.50,INR
pay_2A00028,order_200028,34413.25,2026-09-21,Razorpay settlement | Volt Auto Parts | order_200028,INR
pay_2A00069,order_200062,4949.70,2026-09-19,Razorpay settlement | PixelForge Studio | order_200062 | split 2/2 4949.70,INR
pay_2A00024,order_200024,21044.99,2026-09-17,Razorpay settlement | Summit Fitness | order_200024,INR
pay_2A00070,order_200063,5990.01,2026-09-29,Razorpay settlement | Amber Books | order_200063,INR
pay_2A00041,order_200041,11066.99,2026-09-15,Razorpay settlement | Cedar Homewares | order_200041,INR
pay_2A00025,order_200025,47388.50,2026-09-16,Razorpay settlement | Maple Dental | order_200025,INR
pay_2A00016,order_200016,31388.50,2026-09-28,Razorpay settlement | MediQuick Pharmacy | order_200016,INR
pay_2A00030,order_200030,18057.00,2026-09-13,Razorpay settlement | MediQuick Pharmacy | order_200030,INR
pay_2A00033,order_200033,26962.00,2026-09-19,Razorpay settlement | PixelForge Studio | order_200033,INR
pay_2A00087,order_200080,6731.25,2026-08-03,Razorpay settlement | Amber Books | order_200080 | Aug cycle,INR
pay_2A00035,order_200035,38528.75,2026-09-03,Razorpay settlement | PixelForge Studio | order_200035,INR
pay_2A00059,order_200057,4049.00,2026-09-20,Razorpay settlement | Cedar Homewares | order_200057 | duplicate capture,INR
pay_2A00046,order_200046,25096.00,2026-09-26,Razorpay settlement | SilkRoute Exports | order_200046,INR
pay_2A00043,order_200043,43700.00,2026-09-04,Razorpay settlement | Summit Fitness | order_200043,INR
pay_2A00082,order_200075,6413.99,2026-09-18,Razorpay settlement | MediQuick Pharmacy | order_200075 | settled T+9,INR
pay_2A00055,order_200055,7334.50,2026-09-02,Razorpay settlement | BrightPath Tuition | order_200055,INR
pay_2A00045,order_200045,21703.00,2026-09-16,Razorpay settlement | PixelForge Studio | order_200045,INR
pay_2A00068,order_200062,9192.30,2026-09-18,Razorpay settlement | PixelForge Studio | order_200062 | split 1/2 9192.30,INR
pay_2A00071,order_200064,8430.99,2026-09-15,Razorpay settlement | Maple Dental | order_200064,INR
pay_2A00061,order_200058,11076.00,2026-09-05,Razorpay settlement | Cedar Homewares | order_200058 | duplicate capture,INR
pay_2A00048,order_200048,23185.00,2026-09-21,Razorpay settlement | Urban Grocery | order_200048,INR
pay_2A00075,order_200068,7536.95,2026-09-25,Razorpay settlement | Harbour Linens | order_200068,INR
pay_2A00085,order_200078,8710.35,2026-09-27,Razorpay settlement | MediQuick Pharmacy | order_200078 | net of refund 5806.90,INR
pay_2A00040,order_200040,25734.00,2026-09-23,Razorpay settlement | Urban Grocery | order_200040,INR
pay_2A00032,order_200032,10264.75,2026-09-07,Razorpay settlement | Cedar Homewares | order_200032,INR
