batch,gt_group,taxonomy,source_a_ids,source_b_ids,expected_behavior,injection_notes
1,GT-0029,CLEAN,pay_A00029,led_B00029,Stage 1 exact match on order_ref + amount + date window.,identical amount 33642.25; settlement lag 0d
1,GT-0030,CLEAN,pay_A00030,led_B00030,Stage 1 exact match on order_ref + amount + date window.,identical amount 7435.00; settlement lag 0d
1,GT-0031,CLEAN,pay_A00031,led_B00031,Stage 1 exact match on order_ref + amount + date window.,identical amount 44846.25; settlement lag 0d
1,GT-0032,CLEAN,pay_A00032,led_B00032,Stage 1 exact match on order_ref + amount + date window.,identical amount 25259.50; settlement lag 2d
1,GT-0033,CLEAN,pay_A00033,led_B00033,Stage 1 exact match on order_ref + amount + date window.,identical amount 36506.99; settlement lag 0d
1,GT-0034,CLEAN,pay_A00034,led_B00034,Stage 1 exact match on order_ref + amount + date window.,identical amount 35440.99; settlement lag 1d
1,GT-0035,CLEAN,pay_A00035,led_B00035,Stage 1 exact match on order_ref + amount + date window.,identical amount 19484.25; settlement lag 1d
1,GT-0036,CLEAN,pay_A00036,led_B00036,Stage 1 exact match on order_ref + amount + date window.,identical amount 47573.75; settlement lag 2d
1,GT-0037,CLEAN,pay_A00037,led_B00037,Stage 1 exact match on order_ref + amount + date window.,identical amount 11958.50; settlement lag 1d
1,GT-0038,CLEAN,pay_A00038,led_B00038,Stage 1 exact match on order_ref + amount + date window.,identical amount 42124.50; settlement lag 0d
1,GT-0039,CLEAN,pay_A00039,led_B00039,Stage 1 exact match on order_ref + amount + date window.,identical amount 24754.99; settlement lag 2d
1,GT-0040,CLEAN,pay_A00040,led_B00040,Stage 1 exact match on order_ref + amount + date window.,identical amount 35007.00; settlement lag 1d
1,GT-0041,CLEAN,pay_A00041,led_B00041,Stage 1 exact match on order_ref + amount + date window.,identical amount 1526.00; settlement lag 1d
1,GT-0042,CLEAN,pay_A00042,led_B00042,Stage 1 exact match on order_ref + amount + date window.,identical amount 4046.00; settlement lag 0d
1,GT-0043,CLEAN,pay_A00043,led_B00043,Stage 1 exact match on order_ref + amount + date window.,identical amount 32099.99; settlement lag 2d
1,GT-0044,CLEAN,pay_A00044,led_B00044,Stage 1 exact match on order_ref + amount + date window.,identical amount 8491.00; settlement lag 1d
1,GT-0045,CLEAN,pay_A00045,led_B00045,Stage 1 exact match on order_ref + amount + date window.,identical amount 11071.00; settlement lag 2d
1,GT-0046,CLEAN,pay_A00046,led_B00046,Stage 1 exact match on order_ref + amount + date window.,identical amount 14130.50; settlement lag 0d
1,GT-0047,CLEAN,pay_A00047,led_B00047,Stage 1 exact match on order_ref + amount + date window.,identical amount 20678.25; settlement lag 1d
1,GT-0048,CLEAN,pay_A00048,led_B00048,Stage 1 exact match on order_ref + amount + date window.,identical amount 34169.25; settlement lag 0d
1,GT-0049,CLEAN,pay_A00049,led_B00049,Stage 1 exact match on order_ref + amount + date window.,identical amount 4446.00; settlement lag 2d
1,GT-0050,CLEAN,pay_A00050,led_B00050,Stage 1 exact match on order_ref + amount + date window.,identical amount 15330.50; settlement lag 0d
1,GT-0051,CLEAN,pay_A00051,led_B00051,Stage 1 exact match on order_ref + amount + date window.,identical amount 46639.75; settlement lag 0d
1,GT-0052,CLEAN,pay_A00052,led_B00052,Stage 1 exact match on order_ref + amount + date window.,identical amount 2308.99; settlement lag 0d
1,GT-0053,CLEAN,pay_A00053,led_B00053,Stage 1 exact match on order_ref + amount + date window.,identical amount 15847.00; settlement lag 1d
1,GT-0054,CLEAN,pay_A00054,led_B00054,Stage 1 exact match on order_ref + amount + date window.,identical amount 35589.00; settlement lag 2d
1,GT-0055,CLEAN,pay_A00055,led_B00055,Stage 1 exact match on order_ref + amount + date window.,identical amount 31226.00; settlement lag 1d
1,GT-0056,DUP,"pay_A00056,pay_A00057",led_B00056,"One A row can match B; the second A row is a duplicate settlement and must be flagged DUP, not force-matched.",two identical settlements of 7469.00 for order_00056; ledger has a single row
1,GT-0057,DUP,"pay_A00058,pay_A00059",led_B00057,"One A row can match B; the second A row is a duplicate settlement and must be flagged DUP, not force-matched.",two identical settlements of 11596.25 for order_00057; ledger has a single row
1,GT-0058,DUP,"pay_A00060,pay_A00061",led_B00058,"One A row can match B; the second A row is a duplicate settlement and must be flagged DUP, not force-matched.",two identical settlements of 7535.25 for order_00058; ledger has a single row
1,GT-0059,DUP,"pay_A00062,pay_A00063",led_B00059,"One A row can match B; the second A row is a duplicate settlement and must be flagged DUP, not force-matched.",two identical settlements of 1687.75 for order_00059; ledger has a single row
1,GT-0060,SPLIT,"pay_A00064,pay_A00065",led_B00060,Sum-match the two A rows to the single B row; do not 1:1 match.,2089.60 + 3134.40 = 5224.00 on order_00060
1,GT-0061,SPLIT,"pay_A00066,pay_A00067",led_B00061,Sum-match the two A rows to the single B row; do not 1:1 match.,6559.50 + 6559.49 = 13118.99 on order_00061
1,GT-0062,SPLIT,"pay_A00068,pay_A00069",led_B00062,Sum-match the two A rows to the single B row; do not 1:1 match.,6595.55 + 3551.45 = 10147.00 on order_00062
1,GT-0063,FX_ROUND,pay_A00070,led_B00063,Fuzzy/tolerant match within paise band; log the amount delta.,A=7750.01 B=7750.00 delta=0.01 (paise-level)
1,GT-0064,FX_ROUND,pay_A00071,led_B00064,Fuzzy/tolerant match within paise band; log the amount delta.,A=7978.99 B=7979.00 delta=-0.01 (paise-level)
1,GT-0065,FX_ROUND,pay_A00072,led_B00065,Fuzzy/tolerant match within paise band; log the amount delta.,A=13639.01 B=13638.99 delta=0.02 (paise-level)
1,GT-0066,FX_ROUND,pay_A00073,led_B00066,Fuzzy/tolerant match within paise band; log the amount delta.,A=11084.47 B=11084.50 delta=-0.03 (paise-level)
1,GT-0067,FX_ROUND,pay_A00074,led_B00067,Fuzzy/tolerant match within paise band; log the amount delta.,A=12747.04 B=12746.99 delta=0.05 (paise-level)
1,GT-0068,FX_ROUND,pay_A00075,led_B00068,Fuzzy/tolerant match within paise band; log the amount delta.,A=8356.21 B=8356.25 delta=-0.04 (paise-level)
1,GT-0069,FEE_NET,pay_A00076,led_B00069,Reconstruct gross from A using 2.00% fee and match. Learnable rule: 'CloudStack SaaS settlements are net of 2.00% fee'.,vendor=CloudStack SaaS; fee=2.00%; A_net=3352.58 B_gross=3421.00 fee_amt=68.42
1,GT-0070,FEE_NET,pay_A00077,led_B00070,Reconstruct gross from A using 2.00% fee and match. Learnable rule: 'CloudStack SaaS settlements are net of 2.00% fee'.,vendor=CloudStack SaaS; fee=2.00%; A_net=1538.85 B_gross=1570.25 fee_amt=31.40
1,GT-0071,FEE_NET,pay_A00078,led_B00071,Reconstruct gross from A using 2.36% fee and match. Learnable rule: 'Nimbus Hosting settlements are net of 2.36% fee'.,vendor=Nimbus Hosting; fee=2.36%; A_net=16021.75 B_gross=16409.00 fee_amt=387.25
1,GT-0072,FEE_NET,pay_A00079,led_B00072,Reconstruct gross from A using 2.36% fee and match. Learnable rule: 'Nimbus Hosting settlements are net of 2.36% fee'.,vendor=Nimbus Hosting; fee=2.36%; A_net=23751.66 B_gross=24325.75 fee_amt=574.09
1,GT-0073,TIME_LAG,pay_A00080,led_B00073,Do not Stage-1 match; classify TIME_LAG and widen window once.,identical amount 8573.00; settlement lag 9d (outside 2-3d window)
1,GT-0074,TIME_LAG,pay_A00081,led_B00074,Do not Stage-1 match; classify TIME_LAG and widen window once.,identical amount 4166.00; settlement lag 10d (outside 2-3d window)
1,GT-0075,TIME_LAG,pay_A00082,led_B00075,Do not Stage-1 match; classify TIME_LAG and widen window once.,identical amount 5738.00; settlement lag 9d (outside 2-3d window)
1,GT-0076,PARTIAL,pay_A00083,led_B00076,Match against adjusted (net-of-refund) amount; do not treat as full match.,original=16823.50 refund=6729.40 A_net=10094.10 (40% refunded)
1,GT-0077,PARTIAL,pay_A00084,led_B00077,Match against adjusted (net-of-refund) amount; do not treat as full match.,original=17840.00 refund=3568.00 A_net=14272.00 (20% refunded)
1,GT-0078,PARTIAL,pay_A00085,led_B00078,Match against adjusted (net-of-refund) amount; do not treat as full match.,original=3426.75 refund=685.35 A_net=2741.40 (20% refunded)
1,GT-0079,OOP,pay_A00086,led_B00079,"Flag out-of-period: ledger in July, settlement in August cycle.",identical amount 5566.00; posting=2026-07-28 settlement=2026-08-02 (adjacent months)
1,GT-0080,OOP,pay_A00087,led_B00080,"Flag out-of-period: ledger in July, settlement in August cycle.",identical amount 5770.00; posting=2026-07-29 settlement=2026-08-03 (adjacent months)
1,GT-0081,UNRESOLVED,pay_A00088,,Stay UNRESOLVED. No plausible candidate. Do not force-match.,orphan settlement pay_A00088 635.25 — no source_b row exists
1,GT-0082,UNRESOLVED,,led_B00081,Stay UNRESOLVED. No plausible candidate. Do not force-match.,orphan ledger led_B00081 2615.50 — no source_a row exists
2,GT-20001,CLEAN,pay_2A00001,led_2B00001,Stage 1 exact match on order_ref + amount + date window.,identical amount 34323.99; settlement lag 0d
2,GT-20002,CLEAN,pay_2A00002,led_2B00002,Stage 1 exact match on order_ref + amount + date window.,identical amount 28515.00; settlement lag 1d
2,GT-20003,CLEAN,pay_2A00003,led_2B00003,Stage 1 exact match on order_ref + amount + date window.,identical amount 20822.75; settlement lag 0d
2,GT-20004,CLEAN,pay_2A00004,led_2B00004,Stage 1 exact match on order_ref + amount + date window.,identical amount 19931.50; settlement lag 1d
2,GT-20005,CLEAN,pay_2A00005,led_2B00005,Stage 1 exact match on order_ref + amount + date window.,identical amount 26621.75; settlement lag 2d
2,GT-20006,CLEAN,pay_2A00006,led_2B00006,Stage 1 exact match on order_ref + amount + date window.,identical amount 12822.25; settlement lag 1d
2,GT-20007,CLEAN,pay_2A00007,led_2B00007,Stage 1 exact match on order_ref + amount + date window.,identical amount 11655.50; settlement lag 1d
2,GT-20008,CLEAN,pay_2A00008,led_2B00008,Stage 1 exact match on order_ref + amount + date window.,identical amount 36159.99; settlement lag 1d
2,GT-20009,CLEAN,pay_2A00009,led_2B00009,Stage 1 exact match on order_ref + amount + date window.,identical amount 14024.25; settlement lag 2d
2,GT-20010,CLEAN,pay_2A00010,led_2B00010,Stage 1 exact match on order_ref + amount + date window.,identical amount 43156.00; settlement lag 1d
2,GT-20011,CLEAN,pay_2A00011,led_2B00011,Stage 1 exact match on order_ref + amount + date window.,identical amount 44527.00; settlement lag 1d
2,GT-20012,CLEAN,pay_2A00012,led_2B00012,Stage 1 exact match on order_ref + amount + date window.,identical amount 11370.75; settlement lag 1d
2,GT-20013,CLEAN,pay_2A00013,led_2B00013,Stage 1 exact match on order_ref + amount + date window.,identical amount 43756.75; settlement lag 1d
2,GT-20014,CLEAN,pay_2A00014,led_2B00014,Stage 1 exact match on order_ref + amount + date window.,identical amount 15642.75; settlement lag 0d
2,GT-20015,CLEAN,pay_2A00015,led_2B00015,Stage 1 exact match on order_ref + amount + date window.,identical amount 13300.00; settlement lag 0d
2,GT-20016,CLEAN,pay_2A00016,led_2B00016,Stage 1 exact match on order_ref + amount + date window.,identical amount 31388.50; settlement lag 0d
2,GT-20017,CLEAN,pay_2A00017,led_2B00017,Stage 1 exact match on order_ref + amount + date window.,identical amount 27410.75; settlement lag 0d
2,GT-20018,CLEAN,pay_2A00018,led_2B00018,Stage 1 exact match on order_ref + amount + date window.,identical amount 45886.25; settlement lag 1d
2,GT-20019,CLEAN,pay_2A00019,led_2B00019,Stage 1 exact match on order_ref + amount + date window.,identical amount 9921.75; settlement lag 0d
2,GT-20020,CLEAN,pay_2A00020,led_2B00020,Stage 1 exact match on order_ref + amount + date window.,identical amount 7235.99; settlement lag 0d
2,GT-20021,CLEAN,pay_2A00021,led_2B00021,Stage 1 exact match on order_ref + amount + date window.,identical amount 45857.50; settlement lag 0d
2,GT-20022,CLEAN,pay_2A00022,led_2B00022,Stage 1 exact match on order_ref + amount + date window.,identical amount 16581.99; settlement lag 1d
2,GT-20023,CLEAN,pay_2A00023,led_2B00023,Stage 1 exact match on order_ref + amount + date window.,identical amount 30700.75; settlement lag 2d
2,GT-20024,CLEAN,pay_2A00024,led_2B00024,Stage 1 exact match on order_ref + amount + date window.,identical amount 21044.99; settlement lag 2d
2,GT-20025,CLEAN,pay_2A00025,led_2B00025,Stage 1 exact match on order_ref + amount + date window.,identical amount 47388.50; settlement lag 2d
2,GT-20026,CLEAN,pay_2A00026,led_2B00026,Stage 1 exact match on order_ref + amount + date window.,identical amount 10680.75; settlement lag 1d
2,GT-20027,CLEAN,pay_2A00027,led_2B00027,Stage 1 exact match on order_ref + amount + date window.,identical amount 17236.99; settlement lag 1d
2,GT-20028,CLEAN,pay_2A00028,led_2B00028,Stage 1 exact match on order_ref + amount + date window.,identical amount 34413.25; settlement lag 0d
2,GT-20029,CLEAN,pay_2A00029,led_2B00029,Stage 1 exact match on order_ref + amount + date window.,identical amount 29077.00; settlement lag 1d
2,GT-20030,CLEAN,pay_2A00030,led_2B00030,Stage 1 exact match on order_ref + amount + date window.,identical amount 18057.00; settlement lag 2d
2,GT-20031,CLEAN,pay_2A00031,led_2B00031,Stage 1 exact match on order_ref + amount + date window.,identical amount 9318.00; settlement lag 1d
2,GT-20032,CLEAN,pay_2A00032,led_2B00032,Stage 1 exact match on order_ref + amount + date window.,identical amount 10264.75; settlement lag 0d
2,GT-20033,CLEAN,pay_2A00033,led_2B00033,Stage 1 exact match on order_ref + amount + date window.,identical amount 26962.00; settlement lag 1d
2,GT-20034,CLEAN,pay_2A00034,led_2B00034,Stage 1 exact match on order_ref + amount + date window.,identical amount 4330.00; settlement lag 1d
2,GT-20035,CLEAN,pay_2A00035,led_2B00035,Stage 1 exact match on order_ref + amount + date window.,identical amount 38528.75; settlement lag 2d
2,GT-20036,CLEAN,pay_2A00036,led_2B00036,Stage 1 exact match on order_ref + amount + date window.,identical amount 31509.00; settlement lag 1d
2,GT-20037,CLEAN,pay_2A00037,led_2B00037,Stage 1 exact match on order_ref + amount + date window.,identical amount 25808.99; settlement lag 1d
2,GT-20038,CLEAN,pay_2A00038,led_2B00038,Stage 1 exact match on order_ref + amount + date window.,identical amount 36041.99; settlement lag 0d
2,GT-20039,CLEAN,pay_2A00039,led_2B00039,Stage 1 exact match on order_ref + amount + date window.,identical amount 14630.00; settlement lag 1d
2,GT-20040,CLEAN,pay_2A00040,led_2B00040,Stage 1 exact match on order_ref + amount + date window.,identical amount 25734.00; settlement lag 1d
2,GT-20041,CLEAN,pay_2A00041,led_2B00041,Stage 1 exact match on order_ref + amount + date window.,identical amount 11066.99; settlement lag 0d
2,GT-20042,CLEAN,pay_2A00042,led_2B00042,Stage 1 exact match on order_ref + amount + date window.,identical amount 35254.00; settlement lag 2d
2,GT-20043,CLEAN,pay_2A00043,led_2B00043,Stage 1 exact match on order_ref + amount + date window.,identical amount 43700.00; settlement lag 1d
2,GT-20044,CLEAN,pay_2A00044,led_2B00044,Stage 1 exact match on order_ref + amount + date window.,identical amount 30507.00; settlement lag 1d
2,GT-20045,CLEAN,pay_2A00045,led_2B00045,Stage 1 exact match on order_ref + amount + date window.,identical amount 21703.00; settlement lag 1d
2,GT-20046,CLEAN,pay_2A00046,led_2B00046,Stage 1 exact match on order_ref + amount + date window.,identical amount 25096.00; settlement lag 1d
2,GT-20047,CLEAN,pay_2A00047,led_2B00047,Stage 1 exact match on order_ref + amount + date window.,identical amount 5617.25; settlement lag 2d
2,GT-20048,CLEAN,pay_2A00048,led_2B00048,Stage 1 exact match on order_ref + amount + date window.,identical amount 23185.00; settlement lag 0d
2,GT-20049,CLEAN,pay_2A00049,led_2B00049,Stage 1 exact match on order_ref + amount + date window.,identical amount 42963.00; settlement lag 0d
2,GT-20050,CLEAN,pay_2A00050,led_2B00050,Stage 1 exact match on order_ref + amount + date window.,identical amount 13315.99; settlement lag 2d
2,GT-20051,CLEAN,pay_2A00051,led_2B00051,Stage 1 exact match on order_ref + amount + date window.,identical amount 15883.00; settlement lag 0d
2,GT-20052,CLEAN,pay_2A00052,led_2B00052,Stage 1 exact match on order_ref + amount + date window.,identical amount 14534.25; settlement lag 1d
2,GT-20053,CLEAN,pay_2A00053,led_2B00053,Stage 1 exact match on order_ref + amount + date window.,identical amount 24425.00; settlement lag 2d
2,GT-20054,CLEAN,pay_2A00054,led_2B00054,Stage 1 exact match on order_ref + amount + date window.,identical amount 47328.00; settlement lag 0d
2,GT-20055,CLEAN,pay_2A00055,led_2B00055,Stage 1 exact match on order_ref + amount + date window.,identical amount 7334.50; settlement lag 1d
2,GT-20056,DUP,"pay_2A00056,pay_2A00057",led_2B00056,"One A row can match B; the second A row is a duplicate settlement and must be flagged DUP, not force-matched.",two identical settlements of 11897.25 for order_200056; ledger has a single row
2,GT-20057,DUP,"pay_2A00058,pay_2A00059",led_2B00057,"One A row can match B; the second A row is a duplicate settlement and must be flagged DUP, not force-matched.",two identical settlements of 4049.00 for order_200057; ledger has a single row
2,GT-20058,DUP,"pay_2A00060,pay_2A00061",led_2B00058,"One A row can match B; the second A row is a duplicate settlement and must be flagged DUP, not force-matched.",two identical settlements of 11076.00 for order_200058; ledger has a single row
2,GT-20059,DUP,"pay_2A00062,pay_2A00063",led_2B00059,"One A row can match B; the second A row is a duplicate settlement and must be flagged DUP, not force-matched.",two identical settlements of 5741.99 for order_200059; ledger has a single row
2,GT-20060,SPLIT,"pay_2A00064,pay_2A00065",led_2B00060,Sum-match the two A rows to the single B row; do not 1:1 match.,2386.80 + 3580.19 = 5966.99 on order_200060
2,GT-20061,SPLIT,"pay_2A00066,pay_2A00067",led_2B00061,Sum-match the two A rows to the single B row; do not 1:1 match.,1672.50 + 1672.50 = 3345.00 on order_200061
2,GT-20062,SPLIT,"pay_2A00068,pay_2A00069",led_2B00062,Sum-match the two A rows to the single B row; do not 1:1 match.,9192.30 + 4949.70 = 14142.00 on order_200062
2,GT-20063,FX_ROUND,pay_2A00070,led_2B00063,Fuzzy/tolerant match within paise band; log the amount delta.,A=5990.01 B=5990.00 delta=0.01 (paise-level)
2,GT-20064,FX_ROUND,pay_2A00071,led_2B00064,Fuzzy/tolerant match within paise band; log the amount delta.,A=8430.99 B=8431.00 delta=-0.01 (paise-level)
2,GT-20065,FX_ROUND,pay_2A00072,led_2B00065,Fuzzy/tolerant match within paise band; log the amount delta.,A=13977.27 B=13977.25 delta=0.02 (paise-level)
2,GT-20066,FX_ROUND,pay_2A00073,led_2B00066,Fuzzy/tolerant match within paise band; log the amount delta.,A=3285.72 B=3285.75 delta=-0.03 (paise-level)
2,GT-20067,FX_ROUND,pay_2A00074,led_2B00067,Fuzzy/tolerant match within paise band; log the amount delta.,A=13641.55 B=13641.50 delta=0.05 (paise-level)
2,GT-20068,FX_ROUND,pay_2A00075,led_2B00068,Fuzzy/tolerant match within paise band; log the amount delta.,A=7536.95 B=7536.99 delta=-0.04 (paise-level)
2,GT-20069,FEE_NET,pay_2A00076,led_2B00069,Reconstruct gross from A using 2.00% fee and match. Learnable rule: 'CloudStack SaaS settlements are net of 2.00% fee'.,vendor=CloudStack SaaS; fee=2.00%; A_net=11820.75 B_gross=12061.99 fee_amt=241.24
2,GT-20070,FEE_NET,pay_2A00077,led_2B00070,Reconstruct gross from A using 2.00% fee and match. Learnable rule: 'CloudStack SaaS settlements are net of 2.00% fee'.,vendor=CloudStack SaaS; fee=2.00%; A_net=4252.22 B_gross=4339.00 fee_amt=86.78
2,GT-20071,FEE_NET,pay_2A00078,led_2B00071,Reconstruct gross from A using 2.36% fee and match. Learnable rule: 'Nimbus Hosting settlements are net of 2.36% fee'.,vendor=Nimbus Hosting; fee=2.36%; A_net=9267.00 B_gross=9490.99 fee_amt=223.99
2,GT-20072,FEE_NET,pay_2A00079,led_2B00072,Reconstruct gross from A using 2.36% fee and match. Learnable rule: 'Nimbus Hosting settlements are net of 2.36% fee'.,vendor=Nimbus Hosting; fee=2.36%; A_net=19696.43 B_gross=20172.50 fee_amt=476.07
2,GT-20073,TIME_LAG,pay_2A00080,led_2B00073,Do not Stage-1 match; classify TIME_LAG and widen window once.,identical amount 6111.00; settlement lag 9d (outside 2-3d window)
2,GT-20074,TIME_LAG,pay_2A00081,led_2B00074,Do not Stage-1 match; classify TIME_LAG and widen window once.,identical amount 5925.00; settlement lag 10d (outside 2-3d window)
2,GT-20075,TIME_LAG,pay_2A00082,led_2B00075,Do not Stage-1 match; classify TIME_LAG and widen window once.,identical amount 6413.99; settlement lag 9d (outside 2-3d window)
2,GT-20076,PARTIAL,pay_2A00083,led_2B00076,Match against adjusted (net-of-refund) amount; do not treat as full match.,original=10363.50 refund=4145.40 A_net=6218.10 (40% refunded)
2,GT-20077,PARTIAL,pay_2A00084,led_2B00077,Match against adjusted (net-of-refund) amount; do not treat as full match.,original=1532.50 refund=306.50 A_net=1226.00 (20% refunded)
2,GT-20078,PARTIAL,pay_2A00085,led_2B00078,Match against adjusted (net-of-refund) amount; do not treat as full match.,original=14517.25 refund=5806.90 A_net=8710.35 (40% refunded)
2,GT-20079,OOP,pay_2A00086,led_2B00079,"Flag out-of-period: ledger in July, settlement in August cycle.",identical amount 6557.25; posting=2026-07-28 settlement=2026-08-02 (adjacent months)
2,GT-20080,OOP,pay_2A00087,led_2B00080,"Flag out-of-period: ledger in July, settlement in August cycle.",identical amount 6731.25; posting=2026-07-29 settlement=2026-08-03 (adjacent months)
2,GT-20081,UNRESOLVED,pay_2A00088,,Stay UNRESOLVED. No plausible candidate. Do not force-match.,orphan settlement pay_2A00088 3547.00 — no source_b row exists
2,GT-20082,UNRESOLVED,,led_2B00081,Stay UNRESOLVED. No plausible candidate. Do not force-match.,orphan ledger led_2B00081 1207.25 — no source_a row exists
3,GT-30001,CLEAN,pay_3A00001,led_3B00001,Stage 1 exact match on order_ref + amount + date window.,identical amount 18479.00; settlement lag 1d
3,GT-30002,CLEAN,pay_3A00002,led_3B00002,Stage 1 exact match on order_ref + amount + date window.,identical amount 32475.00; settlement lag 1d
3,GT-30003,CLEAN,pay_3A00003,led_3B00003,Stage 1 exact match on order_ref + amount + date window.,identical amount 22093.00; settlement lag 0d
3,GT-30004,CLEAN,pay_3A00004,led_3B00004,Stage 1 exact match on order_ref + amount + date window.,identical amount 10789.00; settlement lag 1d
3,GT-30005,CLEAN,pay_3A00005,led_3B00005,Stage 1 exact match on order_ref + amount + date window.,identical amount 43673.25; settlement lag 2d
3,GT-30006,CLEAN,pay_3A00006,led_3B00006,Stage 1 exact match on order_ref + amount + date window.,identical amount 30057.00; settlement lag 1d
3,GT-30007,CLEAN,pay_3A00007,led_3B00007,Stage 1 exact match on order_ref + amount + date window.,identical amount 7847.99; settlement lag 2d
3,GT-30008,CLEAN,pay_3A00008,led_3B00008,Stage 1 exact match on order_ref + amount + date window.,identical amount 325.75; settlement lag 2d
3,GT-30009,CLEAN,pay_3A00009,led_3B00009,Stage 1 exact match on order_ref + amount + date window.,identical amount 27332.00; settlement lag 2d
3,GT-30010,CLEAN,pay_3A00010,led_3B00010,Stage 1 exact match on order_ref + amount + date window.,identical amount 41054.99; settlement lag 1d
3,GT-30011,CLEAN,pay_3A00011,led_3B00011,Stage 1 exact match on order_ref + amount + date window.,identical amount 3632.00; settlement lag 2d
3,GT-30012,CLEAN,pay_3A00012,led_3B00012,Stage 1 exact match on order_ref + amount + date window.,identical amount 19126.25; settlement lag 1d
3,GT-30013,CLEAN,pay_3A00013,led_3B00013,Stage 1 exact match on order_ref + amount + date window.,identical amount 2141.75; settlement lag 0d
3,GT-30014,CLEAN,pay_3A00014,led_3B00014,Stage 1 exact match on order_ref + amount + date window.,identical amount 10629.00; settlement lag 0d
3,GT-30015,CLEAN,pay_3A00015,led_3B00015,Stage 1 exact match on order_ref + amount + date window.,identical amount 26988.00; settlement lag 0d
3,GT-30016,CLEAN,pay_3A00016,led_3B00016,Stage 1 exact match on order_ref + amount + date window.,identical amount 7948.75; settlement lag 0d
3,GT-30017,CLEAN,pay_3A00017,led_3B00017,Stage 1 exact match on order_ref + amount + date window.,identical amount 47213.00; settlement lag 1d
