txn_id,order_ref,amount,settlement_date,description,currency
pay_A00018,order_00018,24510.00,2026-08-08,Razorpay settlement | Orbit Mobility | order_00018,INR
pay_A00072,order_00065,13639.01,2026-08-28,Razorpay settlement | Harbour Linens | order_00065,INR
pay_A00049,order_00049,4446.00,2026-08-03,Razorpay settlement | MediQuick Pharmacy | order_00049,INR
pay_A00057,order_00056,7469.00,2026-08-05,Razorpay settlement | Volt Auto Parts | order_00056 | duplicate capture,INR
pay_A00008,order_00008,10713.75,2026-08-15,Razorpay settlement | Volt Auto Parts | order_00008,INR
pay_A00067,order_00061,6559.49,2026-08-30,Razorpay settlement | Cedar Homewares | order_00061 | split 2/2 6559.49,INR
pay_A00071,order_00064,7978.99,2026-08-28,Razorpay settlement | BrightPath Tuition | order_00064,INR
pay_A00007,order_00007,29689.50,2026-08-09,Razorpay settlement | MediQuick Pharmacy | order_00007,INR
pay_A00050,order_00050,15330.50,2026-08-08,Razorpay settlement | Kite Kids Wear | order_00050,INR
pay_A00056,order_00056,7469.00,2026-08-05,Razorpay settlement | Volt Auto Parts | order_00056 | duplicate capture,INR
pay_A00036,order_00036,47573.75,2026-08-11,Razorpay settlement | Urban Grocery | order_00036,INR
pay_A00043,order_00043,32099.99,2026-08-05,Razorpay settlement | Leaf & Bean Cafe | order_00043,INR
pay_A00001,order_00001,7546.00,2026-08-25,Razorpay settlement | Amber Books | order_00001,INR
pay_A00068,order_00062,6595.55,2026-08-08,Razorpay settlement | Leaf & Bean Cafe | order_00062 | split 1/2 6595.55,INR
pay_A00042,order_00042,4046.00,2026-08-19,Razorpay settlement | MediQuick Pharmacy | order_00042,INR
pay_A00052,order_00052,2308.99,2026-08-11,Razorpay settlement | Leaf & Bean Cafe | order_00052,INR
pay_A00040,order_00040,35007.00,2026-08-21,Razorpay settlement | Volt Auto Parts | order_00040,INR
pay_A00020,order_00020,11465.50,2026-08-24,Razorpay settlement | Amber Books | order_00020,INR
pay_A00046,order_00046,14130.50,2026-08-25,Razorpay settlement | PixelForge Studio | order_00046,INR
pay_A00035,order_00035,19484.25,2026-08-07,Razorpay settlement | Leaf & Bean Cafe | order_00035,INR
pay_A00054,order_00054,35589.00,2026-08-26,Razorpay settlement | MediQuick Pharmacy | order_00054,INR
pay_A00029,order_00029,33642.25,2026-08-03,Razorpay settlement | Orbit Mobility | order_00029,INR
pay_A00011,order_00011,22791.50,2026-08-09,Razorpay settlement | Maple Dental | order_00011,INR
pay_A00019,order_00019,45046.75,2026-08-05,Razorpay settlement | Cedar Homewares | order_00019,INR
pay_A00024,order_00024,4587.00,2026-08-20,Razorpay settlement | BrightPath Tuition | order_00024,INR
pay_A00032,order_00032,25259.50,2026-08-17,Razorpay settlement | PixelForge Studio | order_00032,INR
pay_A00009,order_00009,10439.00,2026-08-26,Razorpay settlement | BrightPath Tuition | order_00009,INR
pay_A00045,order_00045,11071.00,2026-08-19,Razorpay settlement | Kite Kids Wear | order_00045,INR
pay_A00081,order_00074,4166.00,2026-08-28,Razorpay settlement | BrightPath Tuition | order_00074 | settled T+10,INR
pay_A00083,order_00076,10094.10,2026-08-08,Razorpay settlement | Summit Fitness | order_00076 | net of refund 6729.40,INR
pay_A00065,order_00060,3134.40,2026-08-15,Razorpay settlement | Amber Books | order_00060 | split 2/2 3134.40,INR
pay_A00028,order_00028,38492.25,2026-08-12,Razorpay settlement | Indigo Travel | order_00028,INR
pay_A00069,order_00062,3551.45,2026-08-09,Razorpay settlement | Leaf & Bean Cafe | order_00062 | split 2/2 3551.45,INR
pay_A00077,order_00070,1538.85,2026-08-10,Razorpay settlement | CloudStack SaaS | order_00070 | net of 2.00% fee,INR
pay_A00013,order_00013,36428.00,2026-08-29,Razorpay settlement | Leaf & Bean Cafe | order_00013,INR
pay_A00073,order_00066,11084.47,2026-08-27,Razorpay settlement | Urban Grocery | order_00066,INR
pay_A00079,order_00072,23751.66,2026-08-27,Razorpay settlement | Nimbus Hosting | order_00072 | net of 2.36% fee,INR
pay_A00002,order_00002,14878.00,2026-08-24,Razorpay settlement | MediQuick Pharmacy | order_00002,INR
pay_A00010,order_00010,6328.25,2026-08-05,Razorpay settlement | Leaf & Bean Cafe | order_00010,INR
pay_A00085,order_00078,2741.40,2026-08-15,Razorpay settlement | Summit Fitness | order_00078 | net of refund 685.35,INR
pay_A00059,order_00057,11596.25,2026-08-13,Razorpay settlement | Leaf & Bean Cafe | order_00057 | duplicate capture,INR
pay_A00039,order_00039,24754.99,2026-08-08,Razorpay settlement | Orbit Mobility | order_00039,INR
pay_A00017,order_00017,29964.75,2026-08-28,Razorpay settlement | BrightPath Tuition | order_00017,INR
pay_A00051,order_00051,46639.75,2026-08-02,Razorpay settlement | Leaf & Bean Cafe | order_00051,INR
pay_A00088,order_00081,635.25,2026-08-23,Razorpay settlement | Summit Fitness | order_00081 | NO LEDGER COUNTERPART,INR
pay_A00031,order_00031,44846.25,2026-08-20,Razorpay settlement | Volt Auto Parts | order_00031,INR
pay_A00041,order_00041,1526.00,2026-08-13,Razorpay settlement | Harbour Linens | order_00041,INR
pay_A00086,order_00079,5566.00,2026-08-02,Razorpay settlement | Leaf & Bean Cafe | order_00079 | Aug cycle,INR
pay_A00027,order_00027,17469.75,2026-08-20,Razorpay settlement | Kite Kids Wear | order_00027,INR
pay_A00034,order_00034,35440.99,2026-08-10,Razorpay settlement | Amber Books | order_00034,INR
